robot_name,num_trajectories,num_waypoints,ik_success_rate,trajectory_success_rate,mean_position_error,max_position_error,mean_joint_margin,min_joint_margin,mean_manipulability,min_manipulability,manipulability_below_threshold,smoothness_cost,collision_proxy,hardware_cost,suite
simple_default,500,39981,0.922713,0.792,0.002894,0.101649,1.526272,0.628669,0.06503713,0.0,0.056481,0.00320628,0.0,1.08,libero_goal
simple_default,500,40000,0.999925,0.998,0.000378,0.006347,1.583622,0.954827,0.07770278,1.04e-06,0.0001,0.00167309,2.075e-05,1.08,libero_object
simple_default,500,39994,0.645397,0.02,0.01387,0.105089,1.869971,0.902173,0.04337428,0.0,0.251772,0.00724644,1.3e-07,1.08,libero_spatial
panda_proxy,500,39981,0.766439,0.434,0.014519,0.179231,1.738592,0.734701,0.04055972,0.0,0.207811,0.00672198,1.36e-06,1.04,libero_goal
panda_proxy,500,40000,0.8752,0.416,0.002918,0.077744,1.872361,1.099778,0.04539573,0.0,0.1149,0.00467578,0.0,1.04,libero_object
panda_proxy,500,39994,0.439466,0.0,0.049651,0.182155,2.001849,1.006947,0.02356514,0.0,0.483795,0.01111572,2e-08,1.04,libero_spatial
panda_true,500,39981,1.0,1.0,0.000275,0.002,1.084766,0.556408,0.18291203,0.07632941,0.0,0.00101011,0.0221353,1.415762,libero_goal
panda_true,500,40000,1.0,1.0,0.00031,0.001998,1.193313,0.842352,0.19399022,0.12249824,0.0,0.00113108,0.0,1.415762,libero_object
panda_true,500,39994,1.0,1.0,0.000286,0.002,1.010607,0.570853,0.19748828,0.11980141,0.0,0.00133985,0.01537234,1.415762,libero_spatial
ur5_proxy,500,39981,1.0,1.0,0.000302,0.001999,1.097773,0.43095,0.11990201,0.04043695,0.0,0.00098314,0.0,1.113,libero_goal
ur5_proxy,500,40000,1.0,1.0,0.000333,0.002,1.149323,0.716565,0.1295591,0.07775852,0.0,0.00105064,0.05190691,1.113,libero_object
ur5_proxy,500,39994,1.0,1.0,0.000303,0.002,1.332777,0.610937,0.13701094,0.06099977,0.0,0.00113103,0.0,1.113,libero_spatial
xarm6_proxy,500,39981,0.724794,0.35,0.01717,0.183658,1.810191,0.716743,0.03474305,0.0,0.24621,0.00766776,0.0,0.946,libero_goal
xarm6_proxy,500,40000,0.78295,0.244,0.005137,0.095081,1.987487,1.115908,0.03554699,0.0,0.18995,0.00583135,1e-08,0.946,libero_object
xarm6_proxy,500,39994,0.404661,0.0,0.056287,0.189358,2.076756,1.035364,0.01995359,0.0,0.518666,0.01277212,0.0,0.946,libero_spatial
ur5e_true,500,39981,1.0,1.0,0.000304,0.002,1.14813,0.45424,0.11687823,0.03801671,0.0,0.00104009,0.00239489,1.464731,libero_goal
ur5e_true,500,40000,1.0,1.0,0.000336,0.001999,1.195284,0.722129,0.12559851,0.07192563,0.0,0.00119497,1.58e-05,1.464731,libero_object
ur5e_true,500,39994,1.0,1.0,0.000302,0.002,1.402068,0.57356,0.13422318,0.05244514,0.0,0.00127471,0.00146072,1.464731,libero_spatial
xarm6_true,500,39981,0.951927,0.872,0.001718,0.08389,1.17294,0.0,0.06767757,0.0,0.033878,0.00386795,0.00040348,1.030873,libero_goal
xarm6_true,500,40000,1.0,1.0,0.000368,0.002,1.33018,0.72994,0.08004772,0.02601064,0.0,0.00206809,0.0,1.030873,libero_object
xarm6_true,500,39994,0.719708,0.094,0.008818,0.089577,0.935137,0.103836,0.04796162,0.0,0.232779,0.00759104,0.00028687,1.030873,libero_spatial
